test	res	[sec]	[mib]	msg
00a 	AC	0.00	0.55	-
00b 	AC	0.00	0.55	-
01a 	AC	0.00	0.55	-
01b 	AC	0.00	0.56	-
02a 	AC	0.00	0.55	-
02b 	AC	0.00	0.80	-
03a 	AC	0.00	0.78	-
03b 	AC	0.00	0.82	-
04a 	AC	0.00	0.55	-
04b 	AC	0.00	0.55	-
05a 	AC	0.00	0.55	-
05b 	AC	0.00	0.57	-
06a 	AC	0.43	33.05	-
06b 	AC	0.41	33.08	-
07a 	AC	0.42	33.03	-
07b 	AC	0.42	32.97	-
08a 	TLE	5.08	31.12	-
08b 	TLE	5.09	31.15	-
09a 	TLE	5.09	31.12	-
09b 	TLE	5.09	31.11	-
10a 	TLE	5.09	31.64	-
10b 	TLE	5.08	31.62	-
11a 	TLE	5.09	31.46	-
11b 	TLE	5.09	31.51	-
12a 	TLE	5.09	81.13	-
12b 	TLE	5.08	32.93	-
12c 	TLE	5.09	60.70	-
13a 	TLE	5.09	76.38	-
13b 	TLE	5.08	37.41	-
14a 	AC	0.59	33.06	-
14b 	AC	0.53	33.02	-
14c 	AC	0.57	32.90	-
14d 	AC	0.64	33.05	-
15a 	TLE	5.07	30.91	-
15b 	TLE	5.09	31.12	-
15c 	TLE	5.08	30.93	-
15d 	TLE	5.08	31.14	-
16a 	TLE	5.08	31.60	-
16b 	TLE	5.09	31.64	-
16c 	TLE	5.10	31.56	-
16d 	TLE	5.08	31.93	-
17a 	AC	0.44	33.23	-
17b 	AC	0.50	33.09	-
17c 	AC	0.53	33.08	-
17d 	AC	0.50	32.84	-
18a 	TLE	5.09	47.27	-
18b 	TLE	5.09	74.38	-
18c 	TLE	5.08	72.03	-
18d 	TLE	5.08	77.54	-
19a 	TLE	5.08	31.15	-
19b 	TLE	5.09	31.12	-
19c 	TLE	5.09	31.05	-
19d 	TLE	5.08	31.13	-
20a 	TLE	5.09	31.63	-
20b 	TLE	5.08	31.62	-
20c 	TLE	5.08	31.61	-
20d 	TLE	5.09	31.78	-
