test	res	[sec]	[mib]	msg
00a 	AC	0.00	0.55	-
00b 	AC	0.00	0.57	-
01a 	AC	0.00	0.57	-
01b 	AC	0.00	0.80	-
02a 	AC	0.00	0.83	-
02b 	AC	0.00	1.09	-
03a 	AC	0.00	0.80	-
03b 	AC	0.00	0.77	-
04a 	AC	0.00	0.80	-
04b 	AC	0.00	0.77	-
05a 	AC	0.00	0.79	-
05b 	AC	0.00	0.57	-
06a 	AC	0.39	96.21	-
06b 	AC	0.39	96.05	-
07a 	AC	0.38	96.13	-
07b 	AC	0.38	96.21	-
08a 	AC	0.39	92.33	-
08b 	AC	0.38	92.55	-
09a 	AC	0.34	92.17	-
09b 	AC	0.42	92.48	-
10a 	AC	0.53	92.92	-
10b 	AC	0.48	93.24	-
11a 	AC	0.53	93.09	-
11b 	AC	0.48	93.02	-
12a 	AC	0.38	92.23	-
12b 	AC	0.39	92.09	-
12c 	AC	0.39	92.23	-
13a 	AC	0.47	92.26	-
13b 	AC	0.42	92.24	-
14a 	AC	0.37	96.23	-
14b 	AC	0.37	96.08	-
14c 	AC	0.30	96.17	-
14d 	AC	0.37	96.10	-
15a 	AC	0.43	92.22	-
15b 	AC	0.40	92.18	-
15c 	AC	0.35	92.31	-
15d 	AC	0.36	92.26	-
16a 	AC	0.38	92.99	-
16b 	AC	0.37	92.99	-
16c 	AC	0.38	92.99	-
16d 	AC	0.38	92.98	-
17a 	AC	0.33	96.25	-
17b 	AC	0.36	96.09	-
17c 	AC	0.30	96.11	-
17d 	AC	0.31	96.11	-
18a 	AC	0.46	92.16	-
18b 	AC	0.42	92.16	-
18c 	AC	0.47	92.17	-
18d 	AC	0.36	92.33	-
19a 	AC	0.35	92.24	-
19b 	AC	0.34	92.30	-
19c 	AC	0.39	92.21	-
19d 	AC	0.35	92.31	-
20a 	AC	0.39	92.82	-
20b 	AC	0.37	92.81	-
20c 	AC	0.38	92.76	-
20d 	AC	0.48	92.79	-
