test	res	[sec]	[mib]	msg
00a 	AC	0.04	46.51	-
00b 	AC	0.03	46.33	-
01a 	AC	0.03	46.45	-
01b 	AC	0.03	46.28	-
02a 	AC	0.03	46.26	-
02b 	AC	0.03	46.26	-
03a 	AC	0.03	46.26	-
03b 	AC	0.03	46.46	-
04a 	AC	0.03	46.33	-
04b 	AC	0.03	46.40	-
05a 	AC	0.03	46.46	-
05b 	AC	0.03	46.38	-
06a 	AC	0.30	96.29	-
06b 	AC	0.26	96.30	-
07a 	AC	0.28	96.29	-
07b 	AC	0.28	96.30	-
08a 	AC	0.42	105.71	-
08b 	AC	0.38	105.71	-
09a 	AC	0.45	105.78	-
09b 	AC	0.39	105.70	-
10a 	AC	0.43	110.71	-
10b 	AC	0.50	110.80	-
11a 	AC	0.57	110.87	-
11b 	AC	0.53	110.70	-
12a 	AC	0.55	193.03	-
12b 	AC	0.55	195.01	-
12c 	AC	0.53	166.91	-
13a 	AC	0.51	187.25	-
13b 	AC	0.51	189.14	-
14a 	AC	0.25	96.30	-
14b 	AC	0.27	96.43	-
14c 	AC	0.28	96.29	-
14d 	AC	0.27	96.28	-
15a 	AC	0.41	105.89	-
15b 	AC	0.43	105.70	-
15c 	AC	0.40	105.70	-
15d 	AC	0.38	105.93	-
16a 	AC	0.47	110.79	-
16b 	AC	0.45	110.72	-
16c 	AC	0.49	110.71	-
16d 	AC	0.55	110.75	-
17a 	AC	0.26	96.29	-
17b 	AC	0.23	96.29	-
17c 	AC	0.24	96.31	-
17d 	AC	0.27	96.28	-
18a 	AC	0.52	176.93	-
18b 	AC	0.60	184.40	-
18c 	AC	0.52	181.26	-
18d 	AC	0.49	188.05	-
19a 	AC	0.37	105.71	-
19b 	AC	0.37	105.71	-
19c 	AC	0.38	105.70	-
19d 	AC	0.37	105.70	-
20a 	AC	0.43	110.71	-
20b 	AC	0.42	110.69	-
20c 	AC	0.47	110.70	-
20d 	AC	0.42	110.73	-
